,Team Score
0,1.1339641790742498
1,1.0397322832875056
2,1.1451486875948182
3,0.9439409481034535
4,0.9508745997256023
5,0.8549847427121886
6,1.0607907006202524
7,1.1630622611323118
8,1.0696673294443726
9,0.9644982257791221
10,1.0564596765260057
11,1.1606408993491462
12,1.1649913902242206
13,1.1686435951091745
14,1.1744299876453375
15,1.179419810648355
16,1.1840660469556061
17,1.1868192281761736
18,1.1929294304647364
19,1.1958632741499187
20,1.2005095104571697
21,1.2030461625025601
22,1.1073424143810908
23,1.112607595125411
24,1.1056053685877418
25,1.2083571749845747
26,1.2134519497296263
27,1.2202722018586456
28,1.224682344845232
29,1.2291689757181428
30,1.2329517446715141
31,1.234379040222339
32,1.240252083540144
33,1.247005757962469
34,1.2534386863330453
35,1.2579197364966554
36,1.2591473434711298
37,1.2650067097571032
38,1.2693673568552395
39,1.275684479006682
40,1.2813310957817603
41,1.2858610109318307
42,1.2881062312444862
43,1.29388042154951
44,1.2968816548728825
45,1.3025673049548974
46,1.3059765027837822
47,1.312645778388901
48,1.3190957336383722
49,1.3270664597836603
50,1.333731334968801
51,1.3372215030883496
52,1.3409603635348284
53,1.3473877111961037
54,1.3522592462686884
55,1.3559410133143128
56,1.3610669104354198
57,1.3674592164038204
58,1.37207487062236
59,1.3769749934603142
60,1.3806029485573263
61,1.38560870998897
62,1.3887781320567703
63,1.3920199183049706
64,1.3975153988842277
65,1.4019388910891712
66,1.40785584291387
67,1.411510796681013
68,1.4151073877456883
69,1.4207810031908972
70,1.4247296767596
71,1.4281302684782209
72,1.4337047702068944
73,1.4384793619877172
74,1.4440054294355682
75,1.4486554802751015
76,1.4535147200071257
77,1.4572228406510002
78,1.4633364368936341
79,1.4670613352824078
80,1.4708797090161738
81,1.47633812781166
82,1.4822921414201293
83,1.48867215204797
84,1.4965231060297743
85,1.5000483158421978
86,1.5044796094136035
87,1.509018622811808
88,1.5134287657983942
89,1.5194309645536912
90,1.5222804094216675
91,1.527687118343799
92,1.5317422424376865
93,1.535770340281385
94,1.5392025451663387
95,1.5422436165404494
96,1.548929642310409
97,1.5543671872351297
98,1.5597237618691862
99,1.5661531296213578
